"","PlanningPortalApplicationNumber","CostOfDevelopment","NumberOfNewDwellings","NumberOfStoreys","ApplicationStatus","ApplicationType","DeterminationAuthority","Council","DevelopmentType","FullAddress","X","Y","StreetNumber1","StreetName","StreetType","Suburb","Postcode","State","StreetNumber2","StreetSuffix","NumberOfExistingLots","AccompaniedByVPAFlag","EPIVariationProposedFlag","SubdivisionProposedFlag","NumberOfProposedLots","LodgementDate","DeterminationDate","AssessmentExhibitionEndDate","AssessmentExhibitionStartDate","DevelopmentSubjectToSICFlag","VariationToDevelopmentStandardsApprovedFlag","ModificationApplicationNumber"
"76","PAN-129932",14840203.75,38,5,"Determined","Development Application","Council","Port Macquarie-Hastings Council","Residential flat building-Subdivision of land-Stratum / community title subdivision","134 BRIDGE STREET PORT MACQUARIE 2444","152.901261911","-31.433986855","134","BRIDGE","STREET","PORT MACQUARIE","2444","New South Wales",NA,NA,4,"N","Y","Y",40,"2021-08-25","2022-04-04","2021-09-13T00:00:00","2021-08-30T00:00:00","N",NA,NA
"77","PAN-38926",32890000,1,NA,"Determined","Development Application","Council","Council of the City of Sydney","Boarding house","1-3 Carillon Avenue, Camperdown","151.187912227","-33.891039014","1","CARILLON","AVENUE","CAMPERDOWN","2050","New South Wales","5",NA,NA,"N","N",NA,NA,"2020-10-12","2021-08-03","2020-11-11T00:00:00","2020-10-21T00:00:00","N",NA,NA
"78","PAN-21200",48000000,1,NA,"Determined","Development Application","Council","Byron Shire Council","Alterations and additions to residential development","Unit 5 No. 296A Tyagarah Road Myocum","153.521386684","-28.6059602649","296","TYAGARAH","ROAD","MYOCUM","2481","New South Wales",NA,NA,1,"N","N","N",NA,"2020-07-16","2020-09-28","2020-08-12T00:00:00","2020-07-30T00:00:00","N","N",NA
"79","PAN-32077",11934681,39,5,"Determined","Development Application","Local Planning Panel","Canterbury-Bankstown Council","Residential flat building","773-777 CANTERBURY ROAD BELMORE 2192","151.088978476","-33.924475792","773","CANTERBURY","ROAD","BELMORE","2192","New South Wales","777",NA,3,"N","N","N",NA,"2020-09-24","2021-12-06","2020-10-27T00:00:00","2020-10-07T00:00:00","N",NA,NA
"80","PAN-15681",6765000,43,4,"Cancelled","Development Application","Unknown","Canterbury-Bankstown Council","Boarding house-Mixed use development","118 DUNTROON STREET HURLSTONE PARK 2193","151.132743155","-33.910681294","118","DUNTROON","STREET","HURLSTONE PARK","2193","New South Wales",NA,NA,3,"N","N","N",NA,NA,NA,NA,NA,NA,NA,NA
"81","PAN-16958",7743000,16,5,"Determined","Development Application","Local Planning Panel","Wollongong City Council","Residential flat building","16 MARKET PLACE WOLLONGONG 2500","150.901152921981","-34.4240563743972","16","MARKET","PLACE","WOLLONGONG","2500","New South Wales",NA,NA,2,"N","Y","N",NA,"2020-06-24","2021-06-01","2020-07-15T00:00:00","2020-07-01T00:00:00","N","N",NA
"82","PAN-119651",26856635,86,5,"Determined","Development Application","Council","Bega Valley Shire Council","Residential flat building","215-217 IMLAY STREET EDEN 2551","149.90677643","-37.06732582","215","IMLAY","STREET","EDEN","2551","New South Wales","217",NA,4,"N","Y","N",NA,"2021-07-16","2021-10-11","2021-09-06T00:00:00","2021-08-23T00:00:00","N","Y",NA
"83","PAN-114202",61480540,201,9,"Determined","Development Application","Unknown","Wollongong City Council","Shop top housing-Retail premises ","35-43 Flinders street, Wollongong","150.892967712","-34.418041093",NA,NA,NA,NA,NA,NA,NA,NA,5,"N","N","N",NA,"2021-09-22","2022-09-08","2021-10-19T00:00:00","2021-10-05T00:00:00","N",NA,NA
"84","PAN-14257",166650000,412,NA,"Determined","Development Application","Sydney / Regional Planning Panel","City of Parramatta Council","Demolition-Residential flat building-Signage-Subdivision of land-Stratum / community title subdivision-Mixed use development","659 VICTORIA ROAD MELROSE PARK 2114","151.068366777","-33.8087279708","659","VICTORIA","ROAD","MELROSE PARK","2114","New South Wales",NA,NA,1,"N","Y","Y",2,"2020-05-25","2020-11-25","2020-07-01T00:00:00","2020-06-10T00:00:00","N","Y",NA
"85","PAN-14257",166650000,412,NA,"Determined","Development Application","Sydney / Regional Planning Panel","City of Parramatta Council","Demolition-Residential flat building-Signage-Subdivision of land-Stratum / community title subdivision-Mixed use development","659 VICTORIA ROAD MELROSE PARK 2114","151.068366777","-33.8087279708","659","VICTORIA","ROAD","MELROSE PARK","2114","New South Wales",NA,NA,1,"N","Y","Y",2,"2020-05-25","2020-11-25","2020-07-01T00:00:00","2020-06-10T00:00:00","N","Y",NA
"86","PAN-14257",166650000,412,NA,"Determined","Development Application","Sydney / Regional Planning Panel","City of Parramatta Council","Demolition-Residential flat building-Signage-Subdivision of land-Stratum / community title subdivision-Mixed use development","659 VICTORIA ROAD MELROSE PARK 2114","151.068366777","-33.8087279708","659","VICTORIA","ROAD","MELROSE PARK","2114","New South Wales",NA,NA,1,"N","Y","Y",2,"2020-05-25","2020-11-25","2020-07-01T00:00:00","2020-06-10T00:00:00","N","Y",NA
"87","PAN-19941",9000000,35,5,"Determined","Development Application","Local Planning Panel","The Council of the Shire of Hornsby","Shop top housing","409 PACIFIC HIGHWAY ASQUITH 2077","151.108463169409","-33.687139840738","409","PACIFIC","HIGHWAY","ASQUITH","2077","New South Wales",NA,NA,NA,"N","Y","N",NA,"2020-07-07","2022-03-30","2022-08-06T00:00:00","2020-07-13T00:00:00","N","Y",NA
"88","PAN-124810",17080565,53,NA,"Determined","Development Application","Local Planning Panel","Bayside Council","Demolition-Residential flat building-Mixed use development","1077 BOTANY ROAD MASCOT 2020","151.195471774","-33.92844494","1077","BOTANY","ROAD","MASCOT","2020","New South Wales",NA,NA,NA,"N","Y",NA,NA,"2021-07-30","2022-09-27","2021-09-17T00:00:00","2021-08-16T00:00:00","N","N",NA
"89","PAN-12236",68223508,162,4,"Deferred Commencement","Development Application","Central Sydney Planning Committee","City of Parramatta Council","Residential flat building","264-268 Pennant Hills Road Carlingford","151.041077706","-33.7863309473","3","HOMELANDS","AVENUE","CARLINGFORD","2118","New South Wales",NA,NA,3,"N","Y","Y",4,"2020-05-04","2020-12-23","2020-06-10T00:00:00","2020-05-20T00:00:00","N","N",NA
"90","PAN-116734",5678759,46,NA,"Deferred Commencement","Development Application","Local Planning Panel","City of Parramatta Council","Boarding house","44 WATTLE STREET RYDALMERE 2116","151.04004703","-33.810329303","44","WATTLE","STREET","RYDALMERE","2116","New South Wales",NA,NA,NA,"N","N",NA,NA,"2021-09-19","2022-06-21","2022-03-18T00:00:00","2022-02-25T00:00:00","N",NA,NA
"91","PAN-122403",8598239,26,4,"Determined","Development Application","Local Planning Panel","Northern Beaches Council","Demolition-Residential flat building","20 AVON ROAD DEE WHY 2099","151.292256805","-33.751563206","20","AVON","ROAD","DEE WHY","2099","New South Wales",NA,NA,NA,"N","Y","N",NA,"2021-07-23","2021-10-20","2021-08-20T00:00:00","2021-08-06T00:00:00","N","Y",NA
"92","PAN-4863",21128619,40,3,"Withdrawn","Development Application","Unknown","Lane Cove Municipal Council","Multi-dwelling housing","518 PACIFIC HIGHWAY LANE COVE NORTH 2066","151.178627278","-33.8058780527","518","PACIFIC","HIGHWAY","LANE COVE NORTH","2066","New South Wales",NA,NA,1,"N","Y","Y",41,"2020-01-13",NA,"2020-02-19T00:00:00","2020-01-23T00:00:00","N",NA,NA
"93","PAN-12240",71445000,147,13,"Withdrawn","Development Application","Unknown","City of Parramatta Council","Residential flat building","14-16 Hill Road, Wentworth Point","151.074136523","-33.827985916","33","HILL","ROAD","WENTWORTH POINT","2127","New South Wales",NA,NA,1,"N","N","Y",4,"2020-04-21",NA,"2020-06-11T00:00:00","2020-05-20T00:00:00","N",NA,NA
"94","PAN-32168",9957370,33,7,"Determined","Development Application","Unknown","The Hills Shire Council","Residential flat building","U 1 40 CIVIC WAY ROUSE HILL 2155","150.926471234696","-33.69208243577","40","CIVIC","WAY","ROUSE HILL","2155","New South Wales",NA,NA,NA,"N","N","N",NA,"2020-09-07",NA,"2020-10-06T00:00:00","2020-09-15T00:00:00","N",NA,NA
"95","PAN-135179",6314408,1,2,"Determined","Development Application","Council","Northern Beaches Council","Dwelling-Pools / decks / fencing-Demolition","13 CALADENIA CLOSE ELANORA HEIGHTS 2101","151.261465872","-33.697036151","13","CALADENIA","CLOSE","ELANORA HEIGHTS","2101","New South Wales",NA,NA,NA,"N","N","N",NA,"2021-08-27","2021-10-22","2021-09-22T00:00:00","2021-09-08T00:00:00","N",NA,NA
"96","PAN-111601",9143079,125,NA,"Determined","Development Application","Central Sydney Planning Committee","Council of the City of Sydney","Residential flat building","189-197 KENT STREET SYDNEY 2000","151.203614984","-33.863226821","189","KENT","STREET","SYDNEY","2000","New South Wales","197",NA,1,"N","Y","N",NA,"2021-06-24","2022-06-15","2021-07-27T00:00:00","2021-06-29T00:00:00","N","Y",NA
"97","PAN-101050",25900000,0,0,"Determined","Development Application","Council","Carrathool Shire Council","Farm buildings-Other","Lot 12 DP 756073","145.496439468646","-33.6091060713061",NA,NA,NA,NA,NA,NA,NA,NA,3,"N","N","N",NA,"2021-05-25","2022-02-15","2021-07-02T00:00:00","2021-06-03T00:00:00","N",NA,NA
"98","PAN-35695",21816516,36,4,"Determined","Development Application","Local Planning Panel","North Sydney Council","Demolition-Residential flat building","1 RODBOROUGH AVENUE CROWS NEST 2065","151.208274871","-33.82833602","1","RODBOROUGH","AVENUE","CROWS NEST","2065","New South Wales",NA,NA,7,"N","Y","Y",36,"2020-09-22","2021-03-03","2020-10-23T00:00:00","2020-10-09T00:00:00","N","N",NA
"99","PAN-12252",10765000,26,2,"Determined","Development Application","Council","Penrith City Council","Dwelling-Subdivision of land-Earthworks / change in levels","16 Chapman Street Werrington","150.752532145011","-33.7606304284517","16","CHAPMAN","STREET","WERRINGTON","2747","New South Wales",NA,NA,1,"N","N","Y",26,"2020-04-22","2021-03-10","2020-06-01T00:00:00","2020-05-18T00:00:00","N","N",NA
"100","PAN-35718",11194718,33,NA,"Withdrawn","Development Application","Unknown","Wollongong City Council","Shop top housing","17 GREENE STREET WARRAWONG 2502","150.886048178","-34.484778113","17","GREENE","STREET","WARRAWONG","2502","New South Wales",NA,NA,NA,"N","N","N",NA,"2020-11-20",NA,NA,NA,NA,NA,NA
"101","PAN-15910",31029241,43,3,"Operational consent issued","Development Application","Sydney / Regional Planning Panel","Northern Beaches Council","Residential flat building-Subdivision of land","25 WARRIEWOOD ROAD WARRIEWOOD 2102","151.300349605","-33.689191255","25","WARRIEWOOD","ROAD","WARRIEWOOD","2102","New South Wales",NA,NA,NA,"N","N","Y",13,"2020-06-03","2020-10-28","2020-07-12T00:00:00","2020-06-12T00:00:00","N","N",NA
"102","PAN-36774",8166781,33,5,"Under Assessment","Development Application","Unknown","Cumberland Council","Residential flat building","6 MANCHESTER STREET MERRYLANDS 2160","150.991727695","-33.832072827","6","MANCHESTER","STREET","MERRYLANDS","2160","New South Wales",NA,NA,NA,"N","N","N",NA,"2020-10-23",NA,"2020-12-02T00:00:00","2020-11-11T00:00:00","N",NA,NA
"103","PAN-111834",9143079,0,NA,"Determined","Development Application","Central Sydney Planning Committee","Council of the City of Sydney","Residential flat building","189-197 KENT STREET SYDNEY 2000","151.203614984","-33.863226821","189","KENT","STREET","SYDNEY","2000","New South Wales","197",NA,1,"N","Y","N",NA,"2021-06-25","2022-04-07","2021-07-26T00:00:00","2021-06-29T00:00:00","N","Y",NA
"104","PAN-11462",5460000,10,2,"Deferred Commencement","Development Application","Council","Byron Shire Council","Multi-dwelling housing-Subdivision of land","6 KEATS STREET BYRON BAY 2481","153.615092193815","-28.6550337604992","6","KEATS","STREET","BYRON BAY","2481","New South Wales",NA,NA,1,"N","N","Y",10,"2020-05-04","2021-05-27","2020-06-03T00:00:00","2020-05-14T00:00:00","N","N",NA
"105","PAN-29009",15080864,51,4,"Determined","Development Application","Sydney / Regional Planning Panel","Canterbury-Bankstown Council","Residential flat building","17-21 PENNSYLVANIA ROAD RIVERWOOD 2210","151.048019394","-33.9474757128","21","PENNSYLVANIA","ROAD","RIVERWOOD","2210","New South Wales",NA,NA,5,"N","N","Y",1,"2020-09-18","2021-06-10","2020-10-27T00:00:00","2020-10-07T00:00:00","N","N",NA
"106","PAN-4379",10000000,2,4,"Cancelled","Development Application","Unknown","Byron Shire Council","Dual occupancy-Demolition","7 BROWNELL DRIVE BYRON BAY 2481","153.636652977","-28.6362247045","7","BROWNELL","DRIVE","BYRON BAY","2481","New South Wales",NA,NA,NA,"N","Y","N",NA,NA,NA,NA,NA,NA,NA,NA
"107","PAN-41371",10775000,45,NA,"Withdrawn","Development Application","Unknown","The Hills Shire Council","Residential flat building","35 YATTENDEN CRESCENT BAULKHAM HILLS 2153","150.991815778","-33.763420684","35","YATTENDEN","CRESCENT","BAULKHAM HILLS","2153","New South Wales",NA,NA,NA,"N","Y",NA,NA,"2020-11-09",NA,"2020-12-10T00:00:00","2020-11-19T00:00:00","N",NA,NA
"108","PAN-41376",22318400.5,100,NA,"Withdrawn","Development Application","Unknown","Blacktown City Council","Residential flat building","150 GUNTAWONG ROAD RIVERSTONE 2765","150.892513317","-33.679271147","150","GUNTAWONG","ROAD","RIVERSTONE","2765","New South Wales",NA,NA,1,"N","Y","N",NA,"2020-11-02",NA,NA,NA,"N",NA,NA
"109","PAN-105539",14740000,70,NA,"Determined","Development Application","Council","The Council of the Shire of Hornsby","Stratum / community title subdivision","9 BELL STREET HORNSBY 2077","151.102931694689","-33.6902081661999","9","BELL","STREET","HORNSBY","2077","New South Wales",NA,NA,1,"N","N","Y",70,"2021-06-07","2021-06-21",NA,NA,"N","N",NA
"110","PAN-34653",43023453,131,NA,"Cancelled","Development Application","Unknown","Central Coast Council","Residential flat building","89 KARALTA ROAD ERINA 2250","151.392946883","-33.4404999258","89","KARALTA","ROAD","ERINA","2250","New South Wales",NA,NA,2,"Y","Y","N",NA,NA,NA,NA,NA,NA,NA,NA
"111","PAN-31229",15891405,53,6,"Determined","Development Application","Local Planning Panel","Canterbury-Bankstown Council","Residential flat building","32 LEONARD STREET BANKSTOWN 2200","151.036239904","-33.923293323","32","LEONARD","STREET","BANKSTOWN","2200","New South Wales",NA,NA,3,"N","Y","Y",53,"2020-09-15","2021-09-17","2021-08-24T00:00:00","2021-08-04T00:00:00","N",NA,NA
"112","PAN-29079",23592268,71,4,"Determined","Development Application","Local Planning Panel","Waverley Council","Demolition-Residential flat building","79 WELLINGTON STREET BONDI BEACH 2026","151.266795835823","-33.8886448445391","79","WELLINGTON","STREET","BONDI BEACH","2026","New South Wales",NA,NA,14,"N","Y","N",NA,"2020-08-25","2021-12-08","2020-09-25T00:00:00","2020-09-04T00:00:00","N","Y",NA
"113","PAN-130611",22619532.1,15,NA,"Determined","Development Application","Local Planning Panel","Sutherland Shire Council","Demolition-Residential flat building","5 PRINCE STREET CRONULLA 2230","151.157446275","-34.047945659","5","PRINCE","STREET","CRONULLA","2230","New South Wales",NA,NA,NA,"N","Y","N",NA,"2021-08-24","2022-07-05","2021-10-05T00:00:00","2021-09-13T00:00:00","N",NA,NA
"114","PAN-21576",5775379,44,NA,"Determined","Development Application","Unknown","Lane Cove Municipal Council","Boarding house","28 LONGUEVILLE ROAD LANE COVE 2066","151.173100366","-33.8125767541","28","LONGUEVILLE","ROAD","LANE COVE","2066","New South Wales",NA,NA,NA,"N","N",NA,NA,"2020-07-24","2020-11-17","2020-08-09T00:00:00","2020-07-24T00:00:00","N","N",NA
"115","PAN-34724",17470376,38,NA,"Determined","Development Application","Sydney / Regional Planning Panel","Canterbury-Bankstown Council","Residential flat building","48 WELLINGTON ROAD CHESTER HILL 2162","151.002597077","-33.884454742","48","WELLINGTON","ROAD","CHESTER HILL","2162","New South Wales",NA,NA,NA,"N","N","N",NA,"2020-10-02","2021-10-18","2020-11-10T00:00:00","2020-10-21T00:00:00","N",NA,NA
"116","PAN-135658",7934676,21,4,"Determined","Development Application","Unknown","Ku-ring-gai Council","Residential flat building","1446 PACIFIC HIGHWAY TURRAMURRA 2074","151.124698315","-33.731242624","1446","PACIFIC","HIGHWAY","TURRAMURRA","2074","New South Wales",NA,NA,3,"N","N","N",NA,"2021-10-19","2023-02-14","2021-11-29T00:00:00","2021-11-01T00:00:00","N","N",NA
"117","PAN-1619",6586749,18,5,"Withdrawn","Development Application","Unknown","Sutherland Shire Council","Residential flat building","87 WILLARONG ROAD CARINGBAH 2229","151.121119565","-34.0344430525","87","WILLARONG","ROAD","CARINGBAH","2229","New South Wales",NA,NA,1,"N","Y","Y",18,"2019-06-06",NA,NA,NA,NA,NA,NA
"118","PAN-104552",9130000,54,4,"Determined","Development Application","Local Planning Panel","Georges River Council","Boarding house","87 WONIORA ROAD HURSTVILLE 2220","151.103505224","-33.971126788","87","WONIORA","ROAD","HURSTVILLE","2220","New South Wales",NA,NA,1,"N","Y","N",NA,"2021-08-02","2022-12-07","2021-09-15T00:00:00","2021-08-18T00:00:00","N",NA,NA
"119","PAN-34767",16017008,43,NA,"Determined","Development Application","Sydney / Regional Planning Panel","Liverpool City Council","Residential flat building","2 Hinkler Ave, 2-4 McGirr Pde, 11-13 Mannix Pde","150.805812131549","-33.9525457353006","13","HINKLER","AVENUE","RUTHERFORD","2320","New South Wales",NA,NA,5,"N","N","Y",2,"2020-09-29","2021-06-15","2021-12-02T00:00:00","2020-11-17T00:00:00","N",NA,NA
"120","PAN-104553",11313035.8,14,NA,"Determined","Development Application","Council","Mosman Municipal Council","Residential flat building-Alterations and additions to residential development","2-6A OURIMBAH ROAD MOSMAN 2088","151.240624288","-33.82278844","2","OURIMBAH","ROAD","MOSMAN","2088","New South Wales","6A",NA,NA,"N","Y","N",NA,"2021-06-09","2021-11-17","2021-07-09T00:00:00","2021-06-10T00:00:00","N","Y",NA
"121","PAN-21635",15097236,30,2,"Determined","Development Application","Local Planning Panel","Ryde City Council","Demolition-Multi-dwelling housing","312 BLAXLAND ROAD RYDE 2112","151.101259868","-33.8031624329","312","BLAXLAND","ROAD","RYDE","2112","New South Wales",NA,NA,NA,"N","Y","N",NA,"2020-07-29","2021-02-11","2020-09-04T00:00:00","2020-08-10T00:00:00","N","Y",NA
"122","PAN-105657",6995233,1,2,"Determined","Development Application","Council","Northern Beaches Council","Dwelling-Demolition","10 MOLONG STREET NORTH CURL CURL 2099","151.300521161","-33.764165334","10","MOLONG","STREET","NORTH CURL CURL","2099","New South Wales",NA,NA,1,"N","N","N",NA,"2021-06-03","2021-07-20","2021-06-23T00:00:00","2021-06-09T00:00:00","N",NA,NA
"123","PAN-18882",56529000,185,6,"Under Assessment","Development Application","Unknown","Inner West Council","Dwelling-Balconies, decks, patios, terraces or verandahs-Multi-dwelling housing-Alterations and additions to industrial development","40-76 WILLIAM STREET LEICHHARDT 2040","151.153649032","-33.8780699569","40","WILLIAM","STREET","LEICHHARDT","2040","New South Wales","76",NA,NA,"N","Y","N",NA,"2020-07-02",NA,NA,NA,"N",NA,NA
"124","PAN-3693",19577321.2,57,2,"Determined","Development Application","Council","Penrith City Council","Dwelling-Semi-attached dwelling-Subdivision of land","WIANAMATTA PARKWAY LLANDILO 2747","150.75574270194","-33.7355726179532",NA,"WIANAMATTA","PARKWAY","JORDAN SPRINGS","2747","New South Wales",NA,NA,1,"N","N","Y",61,"2019-08-29","2021-02-03","2019-09-27T00:00:00","2019-09-13T00:00:00","N","N",NA
